source;target
general;motors
general;first
general;assembly
general;plant
general;cruise
general;gm
general;invest
general;billion
general;said
general;monday
general;announced
general;plans
general;spend
general;build
general;sinks
general;investing
general;spending
general;toyota
general;make
general;receive
general;says
general;co
general;manager
general;major
general;surprised
general;introduce
general;lifelock
general;newday
motors;general
motors;first
motors;electric
motors;assembly
motors;plant
motors;cruise
motors;gm
motors;invest
motors;billion
motors;michigan
motors;said
motors;monday
motors;create
motors;detroit
motors;announced
motors;plans
motors;spend
motors;investment
motors;build
motors;sinks
motors;investing
motors;made
motors;spending
motors;origin
motors;toyota
motors;make
motors;refurbish
motors;receive
motors;says
motors;market
motors;co
motors;announcement
motors;usa
motors;major
motors;surprised
motors;introduce
motors;lifelock
motors;newday
invests;assembly
first;electric
first;assembly
first;plant
first;ev
first;create
first;vehicle
first;factory
first;fully
first;pickup
first;truck
first;dedicated
electric;general
electric;motors
electric;first
electric;plant
electric;gm
electric;cars
electric;michigan
electric;detroit
electric;production
electric;autonomous
electric;vehicles
electric;vehicle
electric;trucks
electric;suvs
electric;sport
electric;utility
electric;future
electric;shuttle
electric;via
electric;electricvehicles
electric;pickup
electric;truck
electric;pickups
electric;eventually
electric;employing
assembly;general
assembly;electric
assembly;plant
assembly;gm
assembly;produce
assembly;michigan
assembly;jobs
assembly;detroit
assembly;build
assembly;devoted
assembly;creating
assembly;make
assembly;dedicated
assembly;facility
plant;general
plant;motors
plant;first
plant;electric
plant;ev
plant;gm
plant;billion
plant;produce
plant;michigan
plant;company
plant;said
plant;create
plant;jobs
plant;detroit
plant;production
plant;vehicles
plant;vehicle
plant;build
plant;trucks
plant;evs
plant;devoted
plant;building
plant;via
plant;creating
plant;fully
plant;make
plant;dedicated
plant;facility
plant;provide
cruise;general
cruise;electric
cruise;driverless
cruise;shuttle
cruise;origin
cruise;introduce
ev;general
ev;assembly
ev;plant
ev;gm
ev;production
ev;hamtramck
gm;general
gm;motors
gm;first
gm;electric
gm;assembly
gm;plant
gm;cruise
gm;ev
gm;president
gm;invest
gm;billion
gm;produce
gm;detroit
gm;spend
gm;investment
gm;new
gm;vehicle
gm;build
gm;trucks
gm;mark
gm;investing
gm;car
gm;another
gm;factory
gm;want
gm;electricvehicles
gm;see
gm;us
gm;make
gm;could
gm;hamtramck
gm;thank
gm;market
gm;surprised
gm;result
gm;honda
gm;reuss
gm;living
gm;amazon
enjoy;gm
day;gm
president;mark
president;obama
president;reuss
united;states
invest;first
invest;electric
invest;assembly
invest;plant
invest;billion
invest;produce
invest;create
invest;jobs
invest;detroit
invest;production
invest;vehicle
invest;build
invest;trucks
invest;evs
invest;factory
billion;first
billion;electric
billion;assembly
billion;plant
billion;ev
billion;produce
billion;michigan
billion;create
billion;jobs
billion;detroit
billion;production
billion;autonomous
billion;vehicles
billion;investment
billion;plan
billion;new
billion;build
billion;trucks
billion;evs
billion;tax
billion;factory
billion;creating
billion;electricvehicles
billion;make
billion;refurbish
billion;underused
billion;credits
billion;making
produce;electric
produce;autonomous
produce;vehicles
produce;new
produce;trucks
cars;general
cars;motors
cars;plant
cars;gm
cars;company
cars;jobs
michigan;general
michigan;motors
michigan;tax
michigan;credits
company;first
company;electric
company;gm
company;pickup
company;partnership
said;monday
said;new
monday;invest
monday;billion
monday;announced
create;plant
create;jobs
create;detroit
create;companies
create;via
jobs;general
jobs;motors
jobs;electric
jobs;plant
jobs;ev
jobs;gm
jobs;detroit
jobs;companies
jobs;via
jobs;automaker
detroit;general
detroit;motors
detroit;electric
detroit;assembly
detroit;plant
detroit;gm
detroit;invest
detroit;billion
detroit;michigan
detroit;companies
detroit;vehicles
detroit;build
detroit;evs
detroit;ars
detroit;technica
detroit;news
detroit;factory
detroit;via
detroit;electricvehicles
detroit;make
detroit;series
detroit;hamtramck
companies;general
announced;billion
announced;plans
announced;production
spend;electric
spend;billion
spend;build
production;electric
production;gm
production;detroit
production;vehicles
autonomous;general
autonomous;plant
autonomous;gm
autonomous;detroit
autonomous;vehicles
autonomous;vehicle
vehicles;general
vehicles;motors
vehicles;first
vehicles;plant
vehicles;gm
vehicles;invest
vehicles;create
vehicles;detroit
vehicles;people
vehicles;cracking
vehicles;dashes
vehicles;move
vehicles;electricvehicles
vehicles;peeling
vehicles;would
vehicles;eventually
vehicles;employing
vehicles;makes
investment;electric
investment;assembly
investment;plant
investment;gm
investment;produce
investment;jobs
investment;detroit
investment;production
investment;new
investment;electricvehicle
rt;thank
good;gm
good;morning
one;gm
manufacture;electric
new;electric
new;plant
new;autonomous
new;vehicles
new;vehicle
new;car
vehicle;general
vehicle;motors
vehicle;plant
vehicle;create
vehicle;jobs
vehicle;detroit
vehicle;production
vehicle;steering
vehicle;wheel
late;gm
build;general
build;electric
build;cruise
build;gm
build;cars
build;detroit
build;autonomous
build;vehicles
build;vehicle
build;trucks
build;suvs
build;evs
build;ars
build;sport
build;electricvehicles
build;origin
build;series
trucks;general
trucks;motors
trucks;first
trucks;gm
trucks;autonomous
trucks;vehicles
trucks;suvs
trucks;sport
trucks;utility
suvs;general
suvs;motors
suvs;first
suvs;gm
suvs;co
great;general
great;michigan
great;news
people;general
people;gm
evs;general
evs;gm
evs;detroit
evs;ars
evs;technica
evs;via
ars;technica
sport;vehicles
sport;utility
sport;move
utility;vehicles
utility;move
utility;would
devoted;electric
building;electric
building;cars
future;electric
future;gm
future;vehicles
future;investing
today;general
today;motors
today;gm
mark;reuss
money;general
money;motors
money;gm
manufacturing;jobs
supply;chain
sinks;plant
sinks;billion
sinks;detroit
news;general
news;motors
news;gm
news;invest
news;billion
investing;assembly
investing;plant
investing;billion
investing;produce
investing;build
investing;trucks
car;general
car;motors
chevy;general
owned;general
tax;credits
wo;fix
wo;dash
wo;cracking
fix;dash
fix;cracking
fix;problems
dash;cracking
dash;problems
dash;thousands
cracking;problems
cracking;dashes
cracking;peeling
cracking;paint
time;general
time;motors
thousands;general
thousands;vehicles
thousands;cracking
thousands;dashes
thousands;job
thousands;cuts
dashes;care
dashes;peeling
dashes;paint
care;chevytrucks
care;chevroletpaintproblems
care;gmcrackeddash
chevytrucks;chevroletpaintproblems
chevytrucks;gmcrackeddash
chevytrucks;gmdashholes
chevroletpaintproblems;gmcrackeddash
gmcrackeddash;gmdashholes
another;gm
another;day
lg;chem
battery;cells
factory;general
factory;electric
factory;vehicles
factory;build
factory;trucks
factory;make
factory;series
driverless;electric
driverless;shuttle
shuttle;detroit
via;general
via;motors
via;gm
via;news
spending;billion
spending;refurbish
spending;underused
want;taking
want;proof
want;amazon
move;create
move;jobs
move;would
creating;plant
creating;gm
creating;jobs
electricvehicles;gm
electricvehicles;billion
see;plant
see;gm
see;another
live;general
live;motors
live;makes
origin;electric
origin;detroit
origin;autonomous
origin;vehicle
origin;shuttle
able;gm
peeling;chevytrucks
peeling;paint
paint;chevytrucks
paint;chevroletpaintproblems
would;create
would;jobs
become;plant
motor;city
pickup;cruise
pickup;gm
pickup;production
pickup;truck
ford;general
ford;motors
climate;change
make;general
make;electric
make;plant
make;ev
make;trucks
make;suvs
make;building
make;facility
make;announcement
lawsuit;general
dedicated;electric
dedicated;plant
dedicated;ev
dedicated;vehicles
partnership;gm
partnership;amazon
world;company
world;partnership
world;look
refurbish;detroit
refurbish;factory
refurbish;underused
underused;detroit
underused;build
underused;factory
series;electric
series;vehicles
series;eventually
eventually;gm
eventually;people
eventually;employing
employing;gm
employing;people
deal;gm
automaker;said
automaker;monday
lost;general
despite;thousands
despite;job
despite;cuts
job;general
job;motors
job;cuts
cuts;general
cuts;motors
cuts;receive
receive;billion
receive;michigan
receive;tax
credits;zero
says;billion
hamtramck;assembly
announces;plant
announces;billion
announces;investment
making;electric
facility;electric
facility;cars
facility;building
variety;trucks
variety;suvs
market;gm
market;result
market;morgan
market;chase
co;assembly
co;invest
co;billion
provide;jobs
announcement;assembly
mondaymorning;gm
taking;company
taking;world
taking;look
hotel;procter
hotel;gamble
commits;billion
commits;investment
usa;carvana
advanced;plant
advanced;gm
major;assembly
major;announcement
makes;assembly
makes;announcement
makes;major
look;gm
look;company
look;partnership
watch;general
watch;motors
watch;live
steering;wheel
steering;pedals
zero;crashes
surprised;market
surprised;result
surprised;morgan
result;morgan
result;chase
result;changed
morgan;chase
morgan;changed
morgan;rating
chase;changed
chase;rating
changed;general
changed;rating
changed;sell
rating;general
rating;motors
rating;sell
sell;general
sell;motors
sell;gm
done;gm
crashes;zero
introduce;origin
electricvehicle;detroit
ceo;mary
fox;news
fox;advertisers
economic;recession
breaking;general
breaking;motors
right;gm
announce;investment
proof;world
proof;taking
proof;amazon
amazon;world
amazon;taking
amazon;look
sandals;hotel
sandals;procter
sandals;gamble
procter;gamble
liberty;mutual
liberty;expedia
liberty;allstate
mutual;expedia
mutual;allstate
mutual;bayer
expedia;allstate
expedia;bayer
allstate;bayer
bayer;geico
geico;general
geico;motors
geico;mypillow
mypillow;general
mypillow;motors
mypillow;lifelock
lifelock;usa
lifelock;newday
newday;usa
carvana;ihop
